pair_idx,dt,curr_x,curr_y,curr_z,curr_roll,curr_pitch,curr_yaw,curr_vx,curr_vy,curr_vz,curr_wx,curr_wy,curr_wz,curr_ax,curr_ay,curr_az,curr_alpha_x,curr_alpha_y,curr_alpha_z,thrust,torque_roll,torque_pitch,torque_yaw,next_x,next_y,next_z,next_roll,next_pitch,next_yaw,next_vx,next_vy,next_vz,next_wx,next_wy,next_wz,next_ax,next_ay,next_az,next_alpha_x,next_alpha_y,next_alpha_z
7719,0.019993,0.463108,1.120379,-1.051870,0.021682,0.064035,1.720729,0.049619,0.754653,0.321200,0.224768,0.510052,-0.580534,-0.914885,-0.001541,0.045746,0.224687,0.509658,-0.582839,0.018936,-0.114023,-0.057750,-0.196667,0.465029,1.127622,-1.050947,0.022494,0.065922,1.720248,0.045881,0.728524,0.317246,0.227118,0.512157,-0.590635,-0.801702,0.094823,0.033507,0.221916,0.514525,-0.580821
7720,0.020001,0.129401,0.058008,1.313126,0.000258,0.004671,1.681070,0.136830,-0.240944,-0.144548,0.070841,-0.133508,-0.391800,0.100873,-0.015932,0.158195,0.069751,-0.133062,-0.399297,-0.138473,-0.093642,0.024573,-0.173609,0.131449,0.055253,1.312276,0.000538,0.004193,1.680683,0.136695,-0.241802,-0.143999,0.076427,-0.132815,-0.374878,0.241169,0.301401,0.166293,0.071916,-0.130248,-0.374825
7721,0.019993,-2.015100,1.667895,-1.647426,-0.048620,0.057203,1.808390,-0.234055,-2.664598,-2.375345,0.218613,-0.469592,0.839688,2.718941,-1.277442,0.453935,0.217992,-0.470469,0.832645,-0.554910,-0.152305,0.052460,-0.953498,-2.016714,1.638491,-1.658484,-0.047760,0.055530,1.809123,-0.210860,-2.674184,-2.352758,0.225237,-0.469009,0.861966,2.691326,-0.995362,0.512349,0.222721,-0.468442,0.871426
7722,0.020006,-0.719908,-0.972495,0.790801,-0.003200,-0.005204,1.822536,-0.082515,-0.004090,0.721044,-0.276327,-0.013250,0.012858,0.195599,-0.162188,0.196238,-0.206023,0.095495,-0.000226,-0.320632,0.029388,-1.535686,0.167825,-0.721184,-0.972208,0.794554,-0.003652,-0.004517,1.822541,-0.081637,-0.001125,0.725547,-0.066852,0.248865,-0.002544,0.023266,-0.276805,0.211556,0.057458,0.335884,-0.012240
7723,0.019993,1.088404,0.019151,-1.539343,0.115462,0.005563,1.574464,-1.742500,0.041314,-0.408202,-0.409329,0.028616,-0.006436,0.008634,-1.943302,-0.036215,-0.421197,0.025939,-0.002706,-0.045288,0.000336,0.021751,0.014459,1.045490,0.020647,-1.543258,0.113086,0.005684,1.574708,-1.804405,0.040459,-0.412895,-0.445988,0.018205,0.000829,-0.253022,-1.922489,-0.006920,-0.449542,0.019376,-0.018793
7724,0.020001,-1.012672,-0.687734,0.800294,-0.052252,-0.000761,1.306689,-0.628105,-0.572432,-0.484632,-0.393164,-0.374199,0.807401,0.847994,-0.330855,0.511432,-0.390981,-0.372854,0.799768,-0.431175,0.018983,0.095014,0.556042,-1.023271,-0.698305,0.797858,-0.054422,-0.002717,1.307797,-0.596218,-0.576953,-0.448439,-0.377890,-0.366348,0.788330,0.772563,-0.384584,0.488613,-0.376751,-0.367576,0.783941
7725,0.019974,-1.196968,-0.932608,1.120383,-0.068490,-0.052693,1.582791,-0.461842,-0.717006,-0.259394,0.014062,-0.282466,1.037615,1.038642,-0.350585,-0.152710,0.072764,-0.148736,1.023424,-0.096567,-0.431182,-0.922573,0.562855,-1.201254,-0.941372,1.119039,-0.067523,-0.052263,1.583981,-0.418984,-0.681839,-0.270371,0.290477,0.228744,1.066714,1.066089,-0.801208,-0.027743,0.308773,0.258978,1.060503
7726,0.020004,-0.724102,-0.853009,-0.966195,0.005622,0.001991,1.823038,-0.016282,-0.081235,-0.941792,0.203426,-0.003011,0.239253,0.068764,0.090099,0.269053,0.113565,-0.148118,0.226744,-0.407469,1.480435,1.799638,-0.777236,-0.725755,-0.854950,-0.972604,0.005981,0.001035,1.823373,-0.020332,-0.082247,-0.931763,-0.008244,-0.212800,0.228911,0.291592,-0.076796,0.238168,-0.033914,-0.184784,0.224004
7727,0.020012,0.148252,0.431487,0.769265,-0.005052,0.122393,1.571091,0.219002,4.128967,0.552064,0.298770,4.894392,0.073724,-3.538069,0.139253,2.782113,0.292430,4.863468,0.075894,-2.289742,-0.083999,-2.108681,0.239666,0.156226,0.511145,0.774642,-0.003513,0.148420,1.570959,0.224510,4.066469,0.798748,0.283397,4.743183,0.086309,-3.383237,0.036247,2.534521,0.285756,4.739624,0.098478
7728,0.019995,0.252756,0.295269,0.786433,0.011448,0.126323,1.568823,0.059018,-2.327590,-1.116115,-0.038490,-4.805627,0.038213,1.578140,-0.000827,0.856645,-0.036121,-4.804825,0.026283,-1.615072,-0.120568,1.433594,-0.026956,0.253199,0.260446,0.779916,0.011308,0.109100,1.568640,0.054297,-2.373347,-1.059966,-0.037970,-4.784804,0.042439,1.585719,-0.030693,1.077524,-0.043367,-4.781028,0.057938
7729,0.019994,0.196526,-0.121866,0.294752,-0.001868,0.021513,1.499130,0.026817,-0.232079,-0.221012,0.017565,0.099893,0.383153,0.316673,0.229761,0.107700,0.016428,0.100009,0.377391,-0.047718,-0.039770,-0.016464,0.135308,0.197094,-0.124584,0.293831,-0.001799,0.021892,1.499448,0.027072,-0.238939,-0.224291,0.017940,0.104545,0.393847,0.173173,-0.008355,0.083769,0.020352,0.112512,0.413877
7730,0.020004,-0.631697,-0.297048,-0.169972,-0.113010,-0.016715,1.664309,1.300896,1.071220,0.367679,0.591767,0.270826,-0.090359,-1.016019,1.500840,-0.292153,0.601493,0.269247,-0.111776,0.221426,-0.066744,-0.208921,-0.600509,-0.595098,-0.277316,-0.167457,-0.109656,-0.015271,1.663627,1.365025,1.084273,0.342038,0.622263,0.270076,-0.130245,-0.927366,1.566551,-0.265201,0.625220,0.272904,-0.126585
7731,0.020003,0.135818,-0.078866,0.272283,-0.004510,-0.081220,1.593656,0.496484,4.141612,-0.474629,0.352123,2.522434,-0.325002,-4.072929,0.563897,1.672216,0.343585,2.538522,-0.313644,-2.057199,-0.061189,-0.336748,0.288782,0.149652,-0.001130,0.268699,-0.002565,-0.067391,1.593193,0.497859,4.176785,-0.329841,0.357004,2.563064,-0.298739,-3.898731,0.654332,1.782689,0.358590,2.570631,-0.300667
7732,0.019998,-2.598617,2.415950,1.510525,-0.011664,0.001575,1.574591,0.911931,0.781429,-0.133746,0.036429,0.032495,0.001107,-0.985846,1.174454,0.255052,0.032775,0.028999,-0.014128,-0.218766,-0.038972,0.026741,0.091519,-2.577392,2.429309,1.509480,-0.011493,0.001740,1.574538,0.916126,0.778842,-0.123443,0.032486,0.031476,-0.007103,-0.809663,1.164589,0.250683,0.032465,0.032343,0.001885
7733,0.019988,0.271394,0.762668,-0.801159,0.034005,0.052578,1.668170,-1.786132,0.704599,-0.665164,-0.716295,0.362118,-0.488122,-0.871969,-1.961261,0.260489,-0.716688,0.362600,-0.502036,-0.207260,0.219789,-0.044294,-0.559468,0.244267,0.768633,-0.803886,0.031316,0.053951,1.667988,-1.793993,0.681738,-0.655194,-0.719928,0.365702,-0.489493,-1.013700,-1.740292,0.269084,-0.727196,0.366870,-0.510514
7734,0.019996,0.307940,-0.162848,-0.477441,0.004857,-0.074350,1.632232,0.458610,3.163538,0.732937,0.248576,1.056861,-0.435040,-3.303167,0.896705,0.773779,0.249228,1.061604,-0.443077,-0.847215,-0.036395,-0.117236,0.115372,0.316514,-0.125738,-0.474007,0.005797,-0.070446,1.631909,0.454700,3.185418,0.774248,0.248408,1.081029,-0.433520,-3.329610,0.733794,0.827170,0.247407,1.085334,-0.421011
7735,0.019996,0.394752,-0.019017,-0.409652,0.085617,0.000864,1.566179,-1.014989,-0.013527,-1.055164,-4.474410,-0.031138,0.019920,0.146491,-0.231711,0.547226,-4.469992,-0.026132,0.029967,-0.820138,2.040425,0.024694,0.026996,0.364546,-0.019673,-0.416655,0.060911,0.000732,1.566590,-1.059721,-0.012659,-1.008934,-4.442399,-0.037807,0.045645,-0.078513,-0.148854,0.651397,-4.436802,-0.039740,0.043610
7736,0.020020,0.234157,0.331405,-0.156891,0.000613,-0.023114,1.559888,-0.071373,0.545067,-0.482194,-0.004702,-0.007235,-0.181955,-0.890116,0.114971,0.082094,-0.004623,-0.007936,-0.169291,-0.027881,0.012515,-0.006841,0.119746,0.234124,0.338264,-0.159389,0.000616,-0.023144,1.559750,-0.071009,0.553520,-0.486089,0.000691,-0.008091,-0.169148,-0.712092,-0.154487,0.079603,-0.002557,-0.012768,-0.168810
7737,0.019998,0.676807,0.738874,1.201726,0.069985,0.053457,1.610574,-1.581622,0.884226,0.363634,-0.563630,0.250140,0.081713,-0.982714,-1.755963,0.130838,-0.566580,0.251488,0.073321,-0.117793,0.061523,-0.038676,-0.578843,0.651471,0.747340,1.203765,0.067876,0.054383,1.610872,-1.604649,0.861279,0.367471,-0.574514,0.250921,0.081917,-1.114475,-1.678075,0.129297,-0.580923,0.256841,0.066157
7738,0.019996,2.578563,-1.397733,0.589853,0.074116,0.019004,1.447011,1.655702,-0.498905,-1.048631,0.313252,-0.169795,1.244086,0.388542,1.801051,-0.328315,0.306316,-0.176622,1.245692,0.391979,-0.204372,-0.062298,-0.225462,2.598394,-1.404415,0.584710,0.075300,0.018320,1.448066,1.621593,-0.501630,-1.072091,0.300685,-0.177342,1.247571,0.247553,1.932890,-0.348033,0.292594,-0.184488,1.252652
7739,0.019990,0.087810,-1.225132,0.406539,-0.012312,-0.006979,1.645549,-0.739805,0.190454,1.045408,-0.048505,0.041636,2.025693,-0.294552,-0.804972,0.184522,-0.042657,0.043548,2.015345,-0.119529,0.066474,-0.003710,-1.580033,0.073779,-1.222287,0.413871,-0.012565,-0.006705,1.648147,-0.729662,0.194623,1.048038,-0.037699,0.038308,1.987660,-0.439605,-0.940476,0.170528,-0.037752,0.038650,1.995316
